Job ID,Company ID,Role,Job Type,Remote/On-site,Career Level,Job Description,Suitable For,Requirements,Required Skills,Salary Min,Salary Max
12,2,Data Scientist,Full-time,On-site,Senior,Analyze and interpret complex data using statistical tools.,"Wheelchair, Dyslexia","Python, SQL","Data analysis, machine learning","10,000,000","25,000,000"
13,3,Marketing Specialist,Contract,Remote,Mid-level,Design and implement marketing strategies to attract customers.,Visual Impairment,Degree in Marketing or related,"Content creation, social media management","8,000,000","15,000,000"
14,4,Product Manager,Full-time,On-site,Senior,Oversee product development and lifecycle management.,Wheelchair,Experience in project management,"Product lifecycle management, stakeholder management","15,000,000","30,000,000"
15,5,UX Designer,Part-time,Remote,Junior,Design user-friendly interfaces for banking applications.,Wheelchair,"Figma, Adobe XD","Wireframing, prototyping","5,000,000","10,000,000"
16,6,Backend Developer,Full-time,On-site,Junior,Develop server-side logic and databases.,"Wheelchair, Deaf","JavaScript, Node.js","Server-side development, API integration","6,000,000","14,000,000"
17,7,Finance Analyst,Contract,On-site,Mid-level,Perform financial forecasting and reporting.,Hearing Impaired,"Accounting, Excel","Financial analysis, forecasting","9,000,000","18,000,000"
18,8,Pilot,Full-time,On-site,Mid-level,Operate and navigate aircraft safely and efficiently.,None,Valid pilot license,"Aircraft navigation, crisis management","20,000,000","40,000,000"
19,9,Software Engineer,Internship,On-site,Entry-level,Develop and test mobile applications.,"Wheelchair, Deaf","Java, Kotlin","Mobile app development, debugging","3,000,000","6,000,000"
20,10,Network Engineer,Full-time,On-site,Mid-level,Design and maintain network infrastructure.,"Wheelchair, Visual Impairment",Networking basics,"Network design, troubleshooting","8,000,000","16,0"
21,1,QA Engineer,Full-time,On-site,Junior,Test software to ensure quality standards are met.,"Wheelchair, Deaf",Knowledge of testing tools,"Manual and automated testing, attention to detail","7,000,000","14,000,000"
22,2,Pharmacist,Full-time,On-site,Mid-level,Dispense medications and offer healthcare advice.,"Wheelchair, Low Vision",Degree in Pharmacy,"Medication management, patient counseling","10,000,000","20,000,000"
23,3,Sales Representative,Part-time,On-site,Entry-level,Promote and sell company products to clients.,"Wheelchair, Hearing Impaired",High school diploma,"Salesmanship, communication skills","4,000,000","8,000,000"
24,4,HR Specialist,Full-time,Remote,Junior,Handle employee relations and recruitment processes.,Wheelchair,Degree in HR Management,"Recruitment, conflict resolution","7,500,000","15,000,000"
25,5,IT Support Specialist,Full-time,On-site,Junior,Provide technical assistance to banking staff.,Hearing Impaired,IT support experience,"Troubleshooting, communication","6,000,000","12,000,000"
26,6,Digital Marketing,Full-time,Remote,Junior,Create and manage online advertising campaigns.,"Wheelchair, Dyslexia",Experience with digital platforms,"Content creation, SEO","7,000,000","14,000,000"
27,7,Mechanical Engineer,Full-time,On-site,Senior,Design and oversee maintenance of mechanical systems.,"Low Vision, Wheelchair",Degree in Mechanical Engineering,"CAD design, maintenance","12,000,000","24,000,000"
28,8,Flight Attendant,Full-time,On-site,Entry-level,Ensure passenger safety and comfort on flights.,None,High school diploma,"Customer service, emergency response","5,000,000","10,000,000"
29,9,DevOps Engineer,Full-time,On-site,Mid-level,Streamline and automate software development workflows.,Wheelchair,Experience with DevOps tools,"CI/CD, scripting, cloud services","12,000,000","22,000,000"
30,10,Data Analyst,Full-time,On-site,Junior,Collect and interpret data to generate insights.,Hearing Impaired,Proficiency in Excel and SQL,"Data visualization, analysis","7,000,000","14,000,000"
31,1,Chef,Full-time,On-site,Mid-level,Prepare and cook a variety of dishes for customers.,"Wheelchair, Dyslexia",Culinary certification,"Cooking skills, kitchen management","9,000,000","18,000,000"
32,2,Laboratory Technician,Full-time,On-site,Junior,Conduct lab tests to assist pharmaceutical development.,Wheelchair,Degree in Chemistry,"Lab testing, sample preparation","6,000,000","12,000,000"
33,3,Graphic Designer,Contract,Remote,Entry-level,Design promotional materials for automotive brands.,Visual Impairment,Proficiency in graphic design tools,"Creativity, design software proficiency","4,000,000","8,000,000"
34,4,Business Analyst,Full-time,On-site,Senior,Analyze business processes to improve efficiency.,"Wheelchair, Deaf",Business degree or related,"Analytical thinking, problem-solving","15,000,000","30,000,000"
35,5,Security Analyst,Full-time,On-site,Junior,Monitor and respond to cybersecurity threats.,Wheelchair,Knowledge of cybersecurity basics,"Threat detection, incident response","8,000,000","16,000,000"
36,6,Copywriter,Part-time,Remote,Junior,Write and edit compelling marketing copy.,"Wheelchair, Dyslexia",Proven writing experience,"Copywriting, editing","4,500,000","9,000,000"
37,7,Petroleum Engineer,Full-time,On-site,Senior,Design and develop methods for extracting oil and gas.,Wheelchair,Degree in Petroleum Engineering,"Well design, reservoir engineering","20,000,000","35,000,000"
38,8,Ticketing Agent,Full-time,On-site,Junior,Manage passenger bookings and provide information.,"Hearing Impaired, Wheelchair",High school diploma,"Customer service, ticketing software","4,500,000","9,000,000"
39,9,Mobile App Developer,Full-time,On-site,Mid-level,Build and maintain mobile applications.,"Wheelchair, Low Vision",Experience with mobile frameworks,"Android/iOS development, debugging","10,000,000","18,000,000"
40,10,Cloud Engineer,Full-time,Remote,Junior,Manage and support cloud infrastructure.,Wheelchair,Familiarity with cloud platforms,"Cloud computing, infrastructure management","7,500,000","15,000,000"
41,1,Nutritionist,Full-time,On-site,Senior,Create diet plans and provide nutritional counseling.,"Visual Impairment, Hearing Impaired",Degree in Nutrition,"Counseling, diet planning","8,000,000","16,000,000"
42,1,Warehouse Manager,Full-time,On-site,Mid-level,Oversee warehouse operations and logistics.,Wheelchair,Experience in logistics,"Inventory management, staff supervision","10,000,000","20,000,000"
43,1,Mechanical Technician,Full-time,On-site,Junior,Perform maintenance on mechanical systems.,"Low Vision, Wheelchair",Vocational training,"Troubleshooting, equipment repair","6,000,000","12,000,000"
44,1,Operations Manager,Full-time,On-site,Senior,Oversee daily operations and manage teams.,Wheelchair,Management experience,"Team leadership, strategic planning","15,000,000","25,000,000"
45,1,Financial Advisor,Full-time,On-site,Junior,Provide clients with financial planning services.,Hearing Impaired,Finance degree or certification,"Financial planning, communication","8,000,000","14,000,000"
46,1,PR Specialist,Full-time,Remote,Junior,Handle communication and PR activities for the company.,"Wheelchair, Dyslexia",Experience in public relations,"Public speaking, media relations","6,000,000","12,000,000"
47,1,Project Manager,Full-time,On-site,Senior,Plan and execute engineering projects effectively.,Wheelchair,Experience in project management,"Budgeting, team leadership","12,000,000","20,000,000"
48,1,Airport Ground Staff,Full-time,On-site,Entry-level,Assist passengers with check-in and boarding.,"Hearing Impaired, Wheelchair",High school diploma,"Customer service, multitasking","4,000,000","8,000,000"
49,1,Full Stack Developer,Full-time,Remote,Junior,Develop both frontend and backend components.,"Wheelchair, Dyslexia",Experience with JavaScript,"Frontend & backend development, database management","7,000,000","15,000,000"
50,1,Content Moderator,Full-time,Remote,Entry-level,ensure contents follow community guidelines,Wheelchair,"Attention to detail, ability to follow policies","Communication skills, decision-making","5,000,000","10,000,000"
